Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-06-11,2019,6,11,Tuesday,23,2019-23,51.45000076293945,51.59000015258789,51.18000030517578,51.33000183105469,9915600,42.9820556640625,-0.0009727392722711503,41.961656297956196,40.54413887023926
2019-06-12,2019,6,12,Wednesday,23,2019-23,51.5,52.13999938964844,51.470001220703125,51.63999938964844,11088100,43.24163818359375,0.0060393230505326745,42.080682209559846,40.62653587341308
2019-06-13,2019,6,13,Thursday,23,2019-23,51.459999084472656,51.70000076293945,50.779998779296875,51.130001068115234,10353600,43.14881134033203,-0.0021467004295164793,42.1811158316476,40.70958854675293
2019-06-14,2019,6,14,Friday,23,2019-23,51.04999923706055,51.529998779296875,51.04999923706055,51.310001373291016,8694300,43.30070877075195,0.0035203155243801465,42.30675370352609,40.80221046447754
2019-06-17,2019,6,17,Monday,24,2019-24,51.25,51.47999954223633,50.61000061035156,50.869998931884766,12322400,42.92938232421875,-0.008575528139715405,42.436372484479634,40.882381744384766
2019-06-18,2019,6,18,Tuesday,24,2019-24,51.25,51.29999923706055,50.529998779296875,50.63999938964844,9221100,42.73529052734375,-0.004521187735922805,42.58143533979143,40.95883850097656
2019-06-19,2019,6,19,Wednesday,24,2019-24,50.540000915527344,51.2400016784668,50.470001220703125,51.119998931884766,9414100,43.140357971191406,0.009478523226336355,42.71715218680246,41.04205696105957
2019-06-20,2019,6,20,Thursday,24,2019-24,51.5,51.790000915527344,51.349998474121094,51.65999984741211,10656600,43.5960693359375,0.010563458120825375,42.892596926007954,41.13237991333008
2019-06-21,2019,6,21,Friday,24,2019-24,51.529998779296875,51.88999938964844,51.40999984741211,51.54999923706055,21264400,43.503238677978516,-0.00212933549682337,43.010571343558176,41.22134880065918
2019-06-24,2019,6,24,Monday,25,2019-25,51.7400016784668,52.20000076293945,51.70000076293945,51.91999816894531,10780000,43.815486907958984,0.0071775858411784466,43.149652753557476,41.315390243530274
